EEZ,species,5yr_catch_tonnage,annual_tonnage
Albania,Acanthocybium_solandri,0.00001301,0.000002602
Albania,Anguilla_anguilla,12,2.4
Albania,Auxis_rochei,28.48787823,5.697575645
Albania,Auxis_thazard,0.00000594,0.000001188
Albania,Boops_boops,266.8878992,53.37757984
Albania,Brama_brama,0.00000485,0.00000097
Albania,Dentex_dentex,2.833076535,0.566615307
Albania,Engraulis_encrasicolus,1.560591072,0.312118214
Albania,Euthynnus_alletteratus,6.713229198,1.34264584
Albania,Katsuwonus_pelamis,0.00000521,0.000001042
Albania,Mugilidae,53.63399584,10.72679917
Albania,Sarda_sarda,53.02225698,10.6044514
Albania,Sardina_pilchardus,2267.296833,453.4593666
Albania,Sardinella_aurita,2.674246851,0.53484937
Albania,Spicara,312.609384,62.5218768
Albania,Tetrapturus_belone,0.634347295,0.126869459
Albania,Thunnus_thynnus,96.69930101,19.3398602
Albania,Xiphias_gladius,592.1190054,118.4238011
Algeria,Auxis,10755.23428,2151.046857
Algeria,Auxis_rochei,14697.48057,2939.496114
Algeria,Boops_boops,67152.37625,13430.47525
Algeria,Clupeiformes,70766,14153.2
Algeria,Engraulis_encrasicolus,24304.76795,4860.953591
Algeria,Liza,4687.186396,937.4372792
Algeria,Mugilidae,4338,867.6
Algeria,Mullus,12324.22915,2464.84583
Algeria,Pagellus_erythrinus,12003.68509,2400.737019
Algeria,Sarda_sarda,14126.93872,2825.387745
Algeria,Sardina_pilchardus,399482.9653,79896.59305
Algeria,Sardinella,156776.7292,31355.34585
Algeria,Scomber_scombrus,6855.687018,1371.137404
Algeria,Seriola_dumerili,3832.795273,766.5590546
Algeria,Thunnus_thynnus,5573.138571,1114.627714
Algeria,Trachurus,124094.594,24818.9188
Algeria,Xiphias_gladius,19425.62763,3885.125526
Andaman_&_Nicobar_Isl_(India),Anchoviella,5065.459574,1013.091915
Andaman_&_Nicobar_Isl_(India),Auxis_thazard,12228.37535,2445.67507
Andaman_&_Nicobar_Isl_(India),Carangidae,3836.849351,767.3698702
Andaman_&_Nicobar_Isl_(India),Clupeidae,13711.04248,2742.208495
Andaman_&_Nicobar_Isl_(India),Coryphaena,11335.34945,2267.069891
Andaman_&_Nicobar_Isl_(India),Euthynnus_affinis,29060.59083,5812.118167
Andaman_&_Nicobar_Isl_(India),Istiompax_indica,9093.41283,1818.682566
Andaman_&_Nicobar_Isl_(India),Istiophoridae,7521.711449,1504.34229
Andaman_&_Nicobar_Isl_(India),Istiophorus_platypterus,16776.213,3355.242599
Andaman_&_Nicobar_Isl_(India),Katsuwonus_pelamis,10726.81604,2145.363208
Andaman_&_Nicobar_Isl_(India),Pampus_argenteus,6056.040658,1211.208132
Andaman_&_Nicobar_Isl_(India),Sardinella,12474.26909,2494.853819
Andaman_&_Nicobar_Isl_(India),Scomberomorus_commerson,35104.61477,7020.922954
Andaman_&_Nicobar_Isl_(India),Scomberomorus_guttatus,8586.071125,1717.214225
Andaman_&_Nicobar_Isl_(India),Scombridae,5508.265553,1101.653111
Andaman_&_Nicobar_Isl_(India),Sphyraenidae,5662.65832,1132.531664
Andaman_&_Nicobar_Isl_(India),Thunnus_albacares,64844.65536,12968.93107
Andaman_&_Nicobar_Isl_(India),Xiphias_gladius,4868.922561,973.7845122
Angola,Ariidae,47130.93153,9426.186306
Angola,Brachydeuterus_auritus,23149.04711,4629.809422
Angola,Dentex,155932.6522,31186.53044
Angola,Haemulidae,18615.74115,3723.148231
Angola,Ilisha_africana,33289.57389,6657.914778
Angola,Katsuwonus_pelamis,36560.54936,7312.109872
Angola,Lithognathus_mormyrus,11934.63189,2386.926377
Angola,Merluccius,9196.315536,1839.263107
Angola,Merluccius_capensis,41849.85408,8369.970815
Angola,Pagrus,21719.76501,4343.953003
Angola,Polynemidae,26566.23316,5313.246632
Angola,Pseudotolithus,95799.88369,19159.97674
Angola,Sardinella,495071.8537,99014.37074
Angola,Sardinops_sagax,61317.29242,12263.45848
Angola,Thunnus_albacares,12009.39935,2401.879869
Angola,Trachurus_capensis,72643.91615,14528.78323
Angola,Trachurus_trecae,258895.3476,51779.06951
Angola,Trichiurus_lepturus,11994.87965,2398.97593
Angola,Zeus_faber,10942.93837,2188.587674
Anguilla_(UK),Acanthocybium_solandri,10.8538056,2.170761119
Anguilla_(UK),Acanthuridae,107.9981019,21.59962038
Anguilla_(UK),Balistidae,0.186065239,0.037213048
Anguilla_(UK),Carangidae,117.658901,23.5317802
Anguilla_(UK),Clupeidae,112.2228774,22.44457547
Anguilla_(UK),Coryphaena,11.03987084,2.207974167
Anguilla_(UK),Decapterus,107.9324318,21.58648637
Anguilla_(UK),Engraulidae,112.2228774,22.44457547
Anguilla_(UK),Haemulidae,215.4562498,43.09124997
Anguilla_(UK),Holocentridae,107.7390699,21.54781399
Anguilla_(UK),Lutjanidae,444.6696037,88.93392075
Anguilla_(UK),Mullidae,108.1586288,21.63172576
Anguilla_(UK),Scombridae,47.69107453,9.538214906
Anguilla_(UK),Serranidae,430.8322362,86.16644725
Anguilla_(UK),Sparidae,107.6515098,21.53030196
Anguilla_(UK),Thunnus_alalunga,0.650993832,0.130198766
Anguilla_(UK),Thunnus_albacares,0.663295281,0.132659056
Anguilla_(UK),Thunnus_obesus,0.067710992,0.013542198
Anguilla_(UK),Xiphias_gladius,0.0959737,0.01919474
Antigua_&_Barbuda,Acanthocybium_solandri,0.130208809,0.026041762
Antigua_&_Barbuda,Acanthuridae,673.1180547,134.6236109
Antigua_&_Barbuda,Balistidae,199.3038029,39.86076059
Antigua_&_Barbuda,Cantherhines,40.67076336,8.134152672
Antigua_&_Barbuda,Carangidae,420.1834347,84.03668694
Antigua_&_Barbuda,Haemulidae,679.7471991,135.9494398
Antigua_&_Barbuda,Holocentridae,90.20935681,18.04187136
Antigua_&_Barbuda,Kyphosus,32.29878592,6.459757185
Antigua_&_Barbuda,Lutjanidae,2118.644239,423.7288478
Antigua_&_Barbuda,Makaira_nigricans,0.080240557,0.016048111
Antigua_&_Barbuda,Ostraciidae,187.9898275,37.5979655
Antigua_&_Barbuda,Scombroidea,169.2949883,33.85899767
Antigua_&_Barbuda,Serranidae,865.8113235,173.1622647
Antigua_&_Barbuda,Sphyraena,37.84966529,7.569933059
Antigua_&_Barbuda,Sphyraenidae,6.009985207,1.201997041
Antigua_&_Barbuda,Thunnus_alalunga,2.382735586,0.476547117
Antigua_&_Barbuda,Thunnus_albacares,5.551086407,1.110217281
Antigua_&_Barbuda,Thunnus_obesus,0.11120886,0.022241772
Antigua_&_Barbuda,Xiphias_gladius,0.136810463,0.027362093
Argentina,Acanthistius_brasilianus,14342,2868.4
Argentina,Cynoscion_striatus,72483,14496.6
Argentina,Dissostichus_eleginoides,16631,3326.2
Argentina,Engraulis_anchoita,94877,18975.4
Argentina,Genypterus_blacodes,55178,11035.6
Argentina,Macrourus_carinatus,11628,2325.6
Argentina,Macruronus_magellanicus,327520,65504
Argentina,Merluccius_australis,14290,2858
Argentina,Merluccius_hubbsi,1361781,272356.2
Argentina,Micromesistius_australis,40470,8094
Argentina,Micropogonias_furnieri,162618,32523.6
Argentina,Nototheniidae,39328,7865.6
Argentina,Pagrus_pagrus,19770,3954
Argentina,Peprilus_paru,3330,666
Argentina,Percophis_brasiliensis,38088,7617.6
Argentina,Pseudopercis_semifasciata,6490,1298
Argentina,Salilota_australis,22516,4503.2
Argentina,Stromateus_brasiliensis,10177,2035.4
Argentina,Umbrina_canosai,12841,2568.2
Aruba_(Netherlands),Acanthocybium_solandri,28.7424129,5.748482579
Aruba_(Netherlands),Auxis_thazard,163.507646,32.70152921
Aruba_(Netherlands),Carangidae,16.87227703,3.374455405
