EEZ,species,5yr_tonnage,annual_tonnage
Albania,Brama_brama,0.00000485,0.00000097
Albania,Katsuwonus_pelamis,0.00000521,0.000001042
Albania,Auxis_thazard,0.00000594,0.000001188
Albania,Acanthocybium_solandri,0.00001301,0.000002602
Albania,Tetrapturus_belone,0.634347295,0.126869459
Albania,Engraulis_encrasicolus,1.560591072,0.312118214
Albania,Sardinella_aurita,2.674246851,0.53484937
Albania,Dentex_dentex,2.833076535,0.566615307
Albania,Euthynnus_alletteratus,6.713229198,1.34264584
Albania,Anguilla_anguilla,12,2.4
Albania,Auxis_rochei,28.48787823,5.697575645
Albania,Sarda_sarda,53.02225698,10.6044514
Albania,Mugilidae,53.63399584,10.72679917
Albania,Thunnus_thynnus,96.69930101,19.3398602
Albania,Boops_boops,266.8878992,53.37757984
Albania,Spicara,312.609384,62.5218768
Albania,Xiphias_gladius,592.1190054,118.4238011
Albania,Sardina_pilchardus,2267.296833,453.4593666
Algeria,Pagellus_erythrinus,12016.44605,2403.28921
Algeria,Auxis_rochei,14697.48057,2939.496114
Algeria,Engraulis_encrasicolus,26380.08744,5276.017489
Algeria,Epinephelus,27720.71738,5544.143477
Algeria,Sarda_sarda,30522.99593,6104.599187
Algeria,Xiphias_gladius,31848.99518,6369.799035
Algeria,Pagellus,37020.45234,7404.090469
Algeria,Pagrus,40534.42189,8106.884377
Algeria,Scorpaena,45580.27619,9116.055238
Algeria,Sparus_aurata,63892.48678,12778.49736
Algeria,Euthynnus_alletteratus,65111.0753,13022.21506
Algeria,Clupeiformes,70766,14153.2
Algeria,Mullus,74108.26023,14821.65205
Algeria,Boops_boops,75402.2135,15080.4427
Algeria,Trachurus,156828.2335,31365.64671
Algeria,Sardinella,168572.3481,33714.46962
Algeria,Sardina_pilchardus,615817.4593,123163.4919
American_Samoa,Lampris,14.50278091,2.900556183
American_Samoa,Lutjanus_kasmira,15.7792888,3.155857759
American_Samoa,Acanthurus_lineatus,16.11735521,3.223471042
American_Samoa,Mugilidae,17.9950749,3.599014979
American_Samoa,Serranidae,19.07041911,3.814083822
American_Samoa,Acanthurus,23.83983008,4.767966016
American_Samoa,Istiompax_indica,27.88857124,5.577714249
American_Samoa,Lethrinidae,29.64514967,5.929029933
American_Samoa,Holocentridae,31.78866705,6.35773341
American_Samoa,Scombridae,52.43590285,10.48718057
American_Samoa,Caranx,63.97099442,12.79419888
American_Samoa,Kajikia_audax,65.71137169,13.14227434
American_Samoa,Xiphias_gladius,77.0995716,15.41991432
American_Samoa,Selar_crumenophthalmus,212.0412605,42.4082521
American_Samoa,Thunnus_obesus,1377.915327,275.5830655
American_Samoa,Thunnus_albacares,3911.107071,782.2214142
American_Samoa,Katsuwonus_pelamis,6680.445648,1336.08913
American_Samoa,Thunnus_alalunga,15801.087,3160.2174
Andaman_&_Nicobar_Isl_(India),Anchoviella,6688.506176,1337.701235
Andaman_&_Nicobar_Isl_(India),Sphyraenidae,7173.872907,1434.774581
Andaman_&_Nicobar_Isl_(India),Carangidae,7782.772375,1556.554475
Andaman_&_Nicobar_Isl_(India),Pampus_argenteus,7935.65224,1587.130448
Andaman_&_Nicobar_Isl_(India),Scombridae,8917.912576,1783.582515
Andaman_&_Nicobar_Isl_(India),Scomberomorus_guttatus,8926.193324,1785.238665
Andaman_&_Nicobar_Isl_(India),Istiompax_indica,9566.04413,1913.208826
Andaman_&_Nicobar_Isl_(India),Istiophoridae,9579.860875,1915.972175
Andaman_&_Nicobar_Isl_(India),Katsuwonus_pelamis,10770.19136,2154.038273
Andaman_&_Nicobar_Isl_(India),Auxis_thazard,12228.37535,2445.67507
Andaman_&_Nicobar_Isl_(India),Coryphaena,14360.5841,2872.11682
Andaman_&_Nicobar_Isl_(India),Istiophorus_platypterus,17485.15995,3497.03199
Andaman_&_Nicobar_Isl_(India),Clupeidae,18375.45958,3675.091916
Andaman_&_Nicobar_Isl_(India),Sardinella,18692.0874,3738.417479
Andaman_&_Nicobar_Isl_(India),Serranidae,28289.6992,5657.93984
Andaman_&_Nicobar_Isl_(India),Euthynnus_affinis,29084.90493,5816.980986
Andaman_&_Nicobar_Isl_(India),Scomberomorus_commerson,35472.83657,7094.567314
Andaman_&_Nicobar_Isl_(India),Thunnus_albacares,64969.77696,12993.95539
Angola,Euthynnus_alletteratus,13362.52204,2672.504408
Angola,Lithognathus_mormyrus,14939.46507,2987.893014
Angola,Sardinella_aurita,17767.75318,3553.550636
Angola,Sardinella_maderensis,17767.75318,3553.550636
Angola,Haemulidae,19181.14151,3836.228303
Angola,Pagrus,22027.47452,4405.494904
Angola,Trichiurus_lepturus,22863.65708,4572.731417
Angola,Polynemidae,27361.44243,5472.288487
Angola,Brachydeuterus_auritus,29944.5913,5988.918261
Angola,Ilisha_africana,34505.47723,6901.095446
Angola,Katsuwonus_pelamis,36560.54936,7312.109872
Angola,Merluccius_capensis,42528.5043,8505.70086
Angola,Ariidae,55658.48589,11131.69718
Angola,Trachurus_capensis,72643.91615,14528.78323
Angola,Sardinops_sagax,72809.84446,14561.96889
Angola,Pseudotolithus,98527.21962,19705.44392
Angola,Dentex,195004.4384,39000.88767
Angola,Trachurus_trecae,304041.062,60808.2124
Angola,Sardinella,506909.5164,101381.9033
Anguilla_(UK),Balistidae,0.381007847,0.076201569
Anguilla_(UK),Thunnus_alalunga,0.650993832,0.130198766
Anguilla_(UK),Thunnus_albacares,0.663295281,0.132659056
