EEZ,reported_5yr_catch_tonnage,reported_unreported_5yr_catch_tonnage,reported_annual,reported_unreported_annual
Albania,17270.16528,17270.16528,3454.033057,3454.033057
Algeria,1051476.297,1764297.524,210295.2594,352859.5048
American_Samoa,35077.06034,35592.00224,7015.412068,7118.400448
Andaman_&_Nicobar_Isl_(India),351690.4473,479180.4801,70338.08946,95836.09602
Angola,1895461.652,3028488.491,379092.3304,605697.6983
Anguilla_(UK),3541.802908,5901.233081,708.3605815,1180.246616
Antigua_&_Barbuda,17990.32757,20343.08326,3598.065515,4068.616653
Argentina,2502631.87,3684348.352,500526.3741,736869.6705
Aruba_(Netherlands),4253.398716,10111.55981,850.6797432,2022.311962
Ascension_Isl_(UK),169.5859671,327.6625478,33.91719342,65.53250957
Australia,464763.7712,576111.2235,92952.75424,115222.2447
Azores_Isl_(Portugal),75573.96446,78702.68567,15114.79289,15740.53713
Bahamas,6256.256062,32761.4322,1251.251212,6552.286439
Bahrain,47683.5,127653.9367,9536.7,25530.78734
Balearic_Island_(Spain),25570.4254,36730.55904,5114.08508,7346.111807
Bangladesh,2642831.946,4182803.46,528566.3893,836560.692
Barbados,12481.0989,22516.74071,2496.219781,4503.348142
Belgium,11918.40771,12675.97039,2383.681541,2535.194078
Belize,31017.66667,50826.16106,6203.533333,10165.23221
Benin,62243.73034,365312.7163,12448.74607,73062.54327
Bermuda_(UK),2810.07563,4341.949017,562.0151259,868.3898034
Bonaire_(Netherlands),1737.617742,3129.494743,347.5235483,625.8989485
Bosnia_&_Herzegovina,24.82662869,323.5764447,4.965325738,64.71528894
Bouvet_Isl_(Norway),482.1359524,547.7064417,96.42719048,109.5412883
Brazil_(mainland),2326077.205,2482938.3,465215.441,496587.6601
British_Virgin_Isl_(UK),5406.804702,17414.8147,1081.36094,3482.962941
Brunei_Darussalam,11787.10378,78016.51152,2357.420756,15603.3023
Bulgaria,86917.4966,122492.3547,17383.49932,24498.47095
Cambodia,500966.2602,3563448.113,100193.252,712689.6226
Cameroon,522379.0011,719085.3049,104475.8002,143817.061
Canada_(Arctic),0,5012.747004,0,1002.549401
Canada_(East_Coast),1459964.959,1750033.229,291992.9918,350006.6458
Canada_(Pacific),662739,846847.1705,132547.8,169369.4341
Canary_Isl_(Spain),97663.07522,359997.0195,19532.61504,71999.4039
Cape_Verde,82033.51699,107459.7843,16406.7034,21491.95686
Cayman_Isl_(UK),478.7791245,694.4362521,95.7558249,138.8872504
Chagos_Archipelago_(UK),38765.60009,39040.71184,7753.120018,7808.142368
Channel_Isl_(UK),54792.65034,54808.26207,10958.53007,10961.65241
Chile_(mainland),9803499.451,13867943.75,1960699.89,2773588.749
China,26447295.37,28318869.31,5289459.074,5663773.862
Christmas_Isl_(Australia),257.3042931,378.8308035,51.46085862,75.7661607
Cote_d'Ivoire,298306.2987,604367.2153,59661.25975,120873.4431
Clipperton_Isl_(France),5037.492928,5062.492928,1007.498586,1012.498586
Cocos_(Keeling)_Isl_(Australia),0,1092.613976,0,218.5227952
Colombia_(Caribbean),32972.52179,44288.04402,6594.504357,8857.608805
Colombia_(Pacific),91165.55922,121152.8235,18233.11184,24230.56469
Comoros_Isl,69632.50982,113840.5035,13926.50196,22768.10069
Congo_(ex-Zaire),15994.28531,86532.23465,3198.857063,17306.44693
Congo_R_of,182382.407,417497.852,36476.4814,83499.5704
Cook_Islands,66012.64318,66159.99941,13202.52864,13231.99988
Corsica_(France),1083.603738,5221.464402,216.7207475,1044.29288
Costa_Rica_(Caribbean),1476.413874,1605.861245,295.2827748,321.1722489
Costa_Rica_(Pacific),98142.65623,109708.465,19628.53125,21941.69301
Crete_(Greece),15374.0267,20119.82341,3074.805341,4023.964683
Croatia,287342.7489,400346.1033,57468.54978,80069.22065
Crozet_Isl_(France),4537.952385,4537.952385,907.5904771,907.5904771
Cuba,49139.25422,86341.74652,9827.850843,17268.3493
Curacao_(Netherlands),5075.02831,5362.047952,1015.005662,1072.40959
Cyprus_(North),317.3157327,4157.513344,63.46314655,831.5026689
Cyprus_(South),6254.106894,8432.940658,1250.821379,1686.588132
Denmark_(Baltic_Sea),209434.6158,289440.6006,41886.92317,57888.12012
Denmark_(North_Sea),656550.9867,679107.1127,131310.1973,135821.4225
Desventuradas_Isl_(Chile),120.4735359,133.8025359,24.09470719,26.76050719
Djibouti,9286.508819,16548.26422,1857.301764,3309.652845
Dominica,3287.329374,8061.045345,657.4658749,1612.209069
Dominican_Republic,55000.5821,219632.0373,11000.11642,43926.40745
Easter_Isl_(Chile),1829.632839,5211.114639,365.9265678,1042.222928
Ecuador_(mainland),1006353.34,1420802.912,201270.668,284160.5823
Egypt_(Mediterranean),268470.6684,406886.0784,53694.13368,81377.21568
Egypt_(Red_Sea),183763.9633,224787.3688,36752.79267,44957.47375
El_Salvador,75592.30069,93290.11268,15118.46014,18658.02254
Equatorial_Guinea,54308.53142,168866.4109,10861.70628,33773.28218
Eritrea,19575.15063,23298.61318,3915.030125,4659.722636
Estonia,298158.3268,330985.6385,59631.66536,66197.12769
Faeroe_Isl_(Denmark),2479619.065,2485065.619,495923.8131,497013.1239
Falkland_Isl_(UK),838254.6824,838257.76,167650.9365,167651.552
Fernando_de_Noronha_(Brazil),1722.370665,1982.913481,344.474133,396.5826962
Fiji,167588.1727,170562.967,33517.63454,34112.5934
Finland,500964.5625,567788.7978,100192.9125,113557.7596
France_(Atlantic_Coast),977433.4876,1120699.06,195486.6975,224139.8121
France_(Mediterranean),57848.3659,191662.7214,11569.67318,38332.54428
French_Guiana,28135.0605,30634.66552,5627.0121,6126.933104
French_Polynesia,93523.45764,129326.0615,18704.69153,25865.2123
Gabon,552289.6538,863524.7795,110457.9308,172704.9559
Galapagos_Isl_(Ecuador),269489.7002,273008.6134,53897.94004,54601.72268
Gambia,509047.587,959513.2017,101809.5174,191902.6403
Gaza_Strip,9490.162607,17533.32866,1898.032521,3506.665731
Georgia,228832.1878,915667.0991,45766.43756,183133.4198
Germany_(Baltic_Sea),108286.7665,145558.6483,21657.3533,29111.72966
Germany_(North_Sea),386979.3169,393069.8002,77395.86338,78613.96003
Ghana,964845.4384,1479368.097,192969.0877,295873.6194
Glorieuse_Islands_(France),2309.025274,2718.65848,461.8050548,543.7316961
Greece_(without_Crete),448515.1902,530829.2647,89703.03804,106165.8529
Greenland_(Denmark),807866.0891,812276.8847,161573.2178,162455.3769
Grenada,7663.692197,13303.83149,1532.738439,2660.766299
Guadeloupe__(France),39874.16333,49062.13364,7974.832667,9812.426728
Guam_(USA),391.3229091,391.3229091,78.26458182,78.26458182
Guatemala_(Caribbean),2369,30527.40524,473.8,6105.481049
Guatemala_(Pacific),6835.299701,150019.0555,1367.05994,30003.81111
Guinea,883045.6578,3141997.722,176609.1316,628399.5443
Guinea-Bissau,323423.5149,2346836.108,64684.70299,469367.2216
Guyana,114947.4777,154846.5008,22989.49554,30969.30015
Haiti,77986.74111,114173.7499,15597.34822,22834.74997
Hawaii_Main_Islands_(USA),13893.35415,184560.4566,2778.67083,36912.09132
Hawaii_Northwest_Islands_(USA),3709.426715,3709.426715,741.8853429,741.8853429
Heard_&_McDonald_Isl_(Australia),16638.76658,16638.76658,3327.753316,3327.753316
Honduras_(Caribbean),10028.7522,18469.00546,2005.75044,3693.801093
Honduras_(Pacific),8979.5,29660.9666,1795.9,5932.19332
Hong_Kong_(China),13738.91316,54921.22147,2747.782633,10984.24429
Howland_&_Baker_Isl_(USA),14966.4608,14966.4608,2993.292159,2993.292159
Iceland,5529680.975,5565908.567,1105936.195,1113181.713
India_(mainland),10689587.45,16132608.64,2137917.49,3226521.728
Indonesia_(Central),5653265.049,7783477.622,1130653.01,1556695.524
Indonesia_(Eastern),13062463.7,18675107.53,2612492.74,3735021.506
Indonesia_(Indian_Ocean),5929595.037,6976478.909,1185919.007,1395295.782
Iran_(Persian_Gulf),749007.5801,1007815.758,149801.516,201563.1515
Iran_(Sea_of_Oman),1459494.49,1504366.123,291898.898,300873.2245
Iraq,25339.28,25444.50423,5067.856,5088.900847
Ireland,2240885.018,2255432.9,448177.0036,451086.58
Israel_(Mediterranean),7502.022934,11870.57294,1500.404587,2374.114588
Israel_(Red_Sea),250,552.238,50,110.4476
Italy_(mainland),522996.1404,820705.8481,104599.2281,164141.1696
Jamaica,59314.27829,143369.0304,11862.85566,28673.80608
Jan_Mayen_Isl_(Norway),16285.70876,16285.70876,3257.141752,3257.141752
Japan_(Daito_Islands),8106.152654,8106.152654,1621.230531,1621.230531
Japan_(main_islands),15737296.19,16236629.5,3147459.238,3247325.9
