species_traits_all,level,Class,Order,Family,Genus_1,Species_Species,DemersPelag,EnvTemp,DepthRangeDeep,trophic_level,Feeding_path,LMax,BodyShapeI,K,tm,DemersPelagLevel,EnvTempLevel,DepthRangeDeepLevel,trophic_levelLevel,Feeding_pathLevel,LMaxLevel,BodyShapeILevel,KLevel,tmLevel,
Albatrossia_pectoralis,species,Actinopterygii,Gadiformes,Macrouridae,Albatrossia,pectoralis,pelagic_oceanic,polar_deep,3500,4.3,benthic,210,elongate,0.129999995,4.580614,species,species,species,species,species,species,species,species,species,
Alepocephalus_agassizii,species,Actinopterygii,Osmeriformes,Alepocephalidae,Alepocephalus,agassizii,pelagic_oceanic,polar_deep,2500,3.38,benthic,79,elongate,0.09,7,species,species,species,species,species,species,species,species,species,
Alepocephalus_bairdii,species,Actinopterygii,Osmeriformes,Alepocephalidae,Alepocephalus,bairdii,pelagic_oceanic,polar_deep,1700,3.69,benthic,100,elongate,0.08,7.6,species,species,species,species,species,species,species,species,species,
Amblyraja_georgiana,species,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,georgiana,pelagic_oceanic,polar_deep,350,4.033333333,pelagic,100,flat,0.150000006,4.1,species,species,species,genus,genus,species,species,species,species,
Anarhichas_denticulatus,species,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,denticulatus,demersal,polar_deep,1700,3.8,pelagic,180,elongate,0.097999997,5.818174,species,species,species,species,species,species,species,species,species,
Anoplopoma_fimbria,species,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,pelagic_oceanic,polar_deep,2740,3.8,benthic,120,fusiform,0.208000004,3.037182,species,species,species,species,species,species,species,species,species,
Antimora_rostrata,species,Actinopterygii,Gadiformes,Moridae,Antimora,rostrata,pelagic_oceanic,polar_deep,3000,3.6,benthic,75,elongate,0.089000002,7.198277,species,species,species,species,species,species,species,species,species,
Aphanopus_carbo,species,Actinopterygii,Perciformes,Trichiuridae,Aphanopus,carbo,pelagic_oceanic,polar_deep,1700,4.5,pelagic,115.4,elongate,0.109999999,5.331634,species,species,species,species,species,species,species,species,species,
Arctoscopus_japonicus,species,Actinopterygii,Perciformes,Trichodontidae,Arctoscopus,japonicus,pelagic_oceanic,polar_deep,550,3.5,benthic,30,fusiform,0.37,2,species,species,species,species,species,species,species,species,species,
Argentina,higher,Actinopterygii,Osmeriformes,Argentinidae,Argentina,NA,pelagic_oceanic,polar_deep,563.6666667,3.38,pelagic,21.9272728,elongate,0.428307695,2.392147692,genus,genus,genus,genus,NA,genus,genus,genus,genus,
Argentina_silus,species,Actinopterygii,Osmeriformes,Argentinidae,Argentina,silus,pelagic_oceanic,polar_deep,1440,3.3,pelagic,70,elongate,0.200000003,3.476856,species,species,species,species,species,species,species,species,species,
Atheresthes_stomias,species,Actinopterygii,Pleuronectiformes,Pleuronectidae,Atheresthes,stomias,demersal,polar_deep,950,4.2,benthic,84,flat,0.11,5.8,species,species,species,species,species,species,species,species,species,
Austroglossus_microlepis,species,Actinopterygii,Pleuronectiformes,Soleidae,Austroglossus,microlepis,pelagic_oceanic,polar_deep,400,3.5,benthic,75,flat,0.129999995,4.9,species,species,species,species,species,species,species,species,species,
